step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,1.0,0.0,0,12,0,14.09929125,0,-1.7999999999999998
1,2.0,0.0,0,20,0,12.83870369963502,0,-3.0
2,3.0,0.0,0,20,0,12.8624503534811,0,-3.0
3,4.0,0.0,0,20,0,12.85190362879689,0,-3.0
4,5.0,0.0,0,20,0,12.987340461595133,0,-3.0
5,6.0,0.0,0,20,0,12.968385499024818,0,-3.0
6,7.0,0.0,0,20,0,13.16504701432875,0,-3.0
7,8.0,0.0,0,20,0,12.987122312290724,0,-3.0
8,9.0,0.0,0,20,0,12.946130782823444,0,-3.0
9,10.0,0.0,0,20,0,12.184667270213998,0,-3.0
10,11.0,0.0,0,16,0,10.253122579976903,1,-2.4499999999999997
11,12.0,0.0,0,14,0,7.549548510521563,1,-2.1
12,13.0,0.0,0,16,0,6.050060341731194,1,-2.4
13,14.0,0.21428571428571427,3,20,0,5.06312970759824,1,-6.9
14,15.0,0.5,4,20,0,3.806326211838177,1,-5.2
15,16.0,0.8125,6,22,0,4.743515640730465,1,-7.1
16,17.0,1.3125,8,22,0,4.616326451263757,1,-7.7
17,18.0,1.9375,10,22,0,4.634160722877552,1,-8.3
18,19.0,2.5625,10,22,0,4.765942680569109,1,-6.3
19,20.0,3.1875,10,22,0,4.753245649332729,1,-6.3
20,21.0,3.357142857142857,8,20,0,5.465592020752238,2,-3.4499999999999997
21,22.0,3.9285714285714284,8,22,1,5.054247049954364,2,-5.694999999999999
22,23.0,4.5,8,24,0,4.3210699625382185,2,-6.0
23,24.0,5.071428571428571,8,22,0,3.249509737453955,2,-5.699999999999999
24,25.0,4.5,10,30,0,4.736896962255179,2,-9.5
25,26.0,4.136363636363637,10,38,0,5.383530726113779,2,-8.7
26,27.0,4.590909090909091,10,38,0,5.169999492744868,2,-8.7
27,28.0,5.6,11,36,0,4.548965386015128,2,-9.7
28,29.0,6.2,12,35,0,4.624992487732603,2,-9.85
29,30.0,6.181818181818182,12,36,0,5.508844363747137,2,-9.0
30,31.0,6.7272727272727275,12,36,0,5.482786880559465,3,-9.05
31,32.0,7.2727272727272725,12,36,0,5.537338113231955,3,-9.0
32,33.0,7.818181818181818,12,36,0,5.3609876312931615,3,-9.0
33,34.0,8.363636363636363,12,36,0,4.783283603565167,3,-9.0
34,35.0,8.909090909090908,12,38,2,3.7589185485643073,3,-9.290000000000001
35,36.0,9.5,13,38,0,2.6305240491208237,3,-10.600000000000001
36,37.0,8.538461538461538,13,44,0,4.026106055069259,3,-10.5
37,38.0,8.5,16,48,0,4.110434601234495,3,-15.0
38,39.0,9.107142857142858,17,48,0,3.8960160873078533,3,-13.299999999999999
39,40.0,9.785714285714286,19,49,1,3.847010949502342,3,-15.045
40,41.0,9.115384615384615,17,45,0,4.052558855968886,4,-9.9
41,42.0,7.846153846153846,16,46,1,3.8395003094322373,4,-10.694999999999999
42,43.0,8.076923076923077,14,44,0,3.5136269085369616,4,-8.8
43,44.0,9.0,13,38,0,3.0063841201826924,4,-8.6
44,45.0,8.846153846153847,14,38,0,3.363656813249399,4,-10.9
45,46.0,9.384615384615385,14,36,0,2.9374354375093428,4,-9.6
46,47.0,10.75,14,30,0,2.1354721166969153,4,-8.7
47,48.0,11.91304347826087,16,26,0,1.671591982093239,4,-10.7
48,49.0,11.153846153846153,16,30,0,3.3200226652592026,4,-9.3
49,50.0,10.3,19,36,0,4.321537703279773,4,-14.099999999999998
50,51.0,10.966666666666667,20,36,0,4.197717506288748,5,-12.45
51,52.0,11.633333333333333,20,36,0,4.310482749246333,5,-11.399999999999999
52,53.0,12.3,20,36,0,4.3829566710295325,5,-11.399999999999999
53,54.0,12.966666666666667,20,38,1,4.127076571164763,5,-11.694999999999999
54,55.0,13.633333333333333,20,40,0,3.676211626400424,5,-12.0
55,56.0,14.3,20,42,0,2.957390790989339,5,-12.3
56,57.0,14.966666666666667,20,42,0,2.366385549320454,5,-12.3
57,58.0,15.733333333333333,23,46,2,1.8221777675647448,5,-16.789999999999996
58,59.0,15.5,24,48,0,2.1419243329081983,5,-15.399999999999999
59,60.0,16.28125,25,48,0,1.6530129691123316,5,-15.7
60,61.0,14.21875,24,50,0,1.993398120073813,6,-13.75
61,62.0,13.352941176470589,23,60,3,2.378906210059402,6,-14.884999999999998
62,63.0,14.088235294117647,25,60,0,2.3131783547127007,6,-18.5
63,64.0,15.78125,26,56,0,2.3322595805997257,6,-17.200000000000003
64,65.0,16.59375,26,56,0,2.344255463204421,6,-16.2
65,66.0,17.40625,26,54,0,2.272646007867411,6,-15.899999999999999
66,67.0,18.21875,26,54,0,1.6809876181110395,6,-15.899999999999999
67,68.0,19.03125,26,54,0,0.9755152568818218,6,-15.899999999999999
68,69.0,19.90625,28,54,0,0.37324387258447245,6,-18.5
69,70.0,20.84375,30,54,0,0.024128676567158974,6,-19.1
70,71.0,21.8125,31,54,0,0.01057051645596713,7,-18.45
71,72.0,22.78125,31,54,0,0.005705254219633645,7,-17.4
72,73.0,19.025,32,66,0,2.7614436150367845,7,-20.5
73,74.0,18.022727272727273,32,74,0,3.369406875376012,7,-20.7
74,75.0,18.75,32,74,0,3.2948937432259764,7,-20.7
75,76.0,19.477272727272727,32,75,1,3.2959747048088293,7,-20.845000000000002
76,77.0,20.204545454545453,32,77,1,3.2153791101001428,7,-21.145
77,78.0,20.931818181818183,32,77,0,2.976118197576488,7,-21.15
78,79.0,21.65909090909091,32,78,1,2.7276500897189164,7,-21.294999999999998
79,80.0,22.40909090909091,33,78,0,2.4641317631294872,7,-22.6
80,81.0,21.166666666666668,31,74,0,2.283841251069941,0,-18.45
81,82.0,19.166666666666668,30,72,0,1.8980132184615068,0,-18.799999999999997
82,83.0,17.238095238095237,28,70,0,1.3889584716340655,0,-16.9
83,84.0,16.5,30,66,0,0.8902896315994884,0,-20.9
84,85.0,14.19047619047619,28,70,0,1.2534171395722797,0,-16.9
85,86.0,12.454545454545455,28,70,0,1.7100657511990442,0,-18.9
86,87.0,11.976190476190476,28,62,0,1.5814312183543013,0,-17.7
87,88.0,10.704545454545455,28,64,0,2.113963732547705,0,-18.0
88,89.0,10.476190476190476,26,60,0,1.8236834570096634,0,-14.8
89,90.0,10.047619047619047,24,58,0,1.862363973902246,0,-13.899999999999999
90,91.0,10.902439024390244,25,52,0,1.8167607897370037,1,-16.35
91,92.0,10.439024390243903,24,52,0,1.8495323959662053,1,-14.0
92,93.0,10.414634146341463,23,52,0,1.906021153619254,1,-13.7
93,94.0,10.487804878048781,23,52,0,1.868144484110222,1,-14.7
94,95.0,10.902439024390244,23,54,1,1.8696679216191394,1,-14.995
95,96.0,11.365853658536585,22,56,0,1.8150304156605561,1,-14.0
96,97.0,10.844444444444445,22,68,1,2.6018657170957455,1,-16.794999999999998
97,98.0,10.428571428571429,23,78,0,2.8447224826573634,1,-19.599999999999998
98,99.0,10.938775510204081,25,80,0,2.5251441716782854,1,-21.5
99,100.0,11.489795918367347,27,80,0,2.191649158317833,1,-22.1
